0,Passenger Plate Default,District of Columbia,,,,,,,,,,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?
,Ambulance,,,,Y,Y,Y,N,Y,N,Y-Ambulance,N
,Antique / Historic Motor Vehicle,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,Y - Displays the vertical HMV. Displyas the words Historic Motor Vehicle,Y - Displayed on an older vehicle.,N
,Apportioned plate,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,"Y - It will began with the letter ""C""",Y - It will be on the front of a Semi Cab,N
,Authority / Police,,,,Y,Y,Y,N,Y,N,N,N
,Authority Motorcycle/Police,,,,Y,Y,Y,N,Y,N,N,N
,Bus,,,,Y,Y,Y,N,Y,N,N,N
,Camper,,,,Y,Y,Y,N,Y,N,N,N
,City,,,,Y,Y,Y,N,Y,N,N,N
,City Motorcycle,,,,Y,Y,Y,N,Y,N,N,N
,Collegiate,,,,Y,Y,Y,N,Y,N,N,N
,Commercial,Special Cab Permit,Special Trailer Permit,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,Y - The yellow plate will be on the cab and the green plate will be on the trailer.,Y - The yellow plate will be on the cab and the green plate will be on the trailer.,N
,Dealer,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,Y - Dealer appears across the bottem and begins with DLR.,N,N
,Dealer Motorcycle,,,,Y,Y,Y,N,Y,N,N,N
,Disabled Veteran ,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,Y - Disabled American Veteran appears across the bottem and it begins the DAV.,N,N
,Farm,,,,Y,Y,Y,N,Y,N,N,N
,Fire Department,,,,Y,Y,Y,N,Y,N,N,N
,Handicapped,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,Y - Wheel Chair symbol appears on the plate.,N,N
,Handicapped Motorcycle,,,,Y,Y,Y,N,Y,N,N,N
,Initial Commercial plate ,,,,Y,Y,Y,N,Y,N,N,N
,Initial Disabled Veteran,,,,Y,Y,Y,N,Y,N,N,N
,Initial Handicapped,,,,Y,Y,Y,N,Y,N,N,N
,Initial Motorcycle,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,Y - Any plate that relates a message is considerred personalized/Initial.,Y - Vehicle will be a motorcycle.,N
,Initial Passenger,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,Y - Any plate that relates a message is considerred personalized/Initial.,N,N
,Initial Regular Veteran,,,,Y,Y,Y,N,Y,N,N,N
,Initial Veteran Motorcycle,,,,Y,Y,Y,N,Y,N,N,N
,Livery,,,,Y,Y,Y,N,Y,N,N,N
,Manufacturer,,,,Y,Y,Y,N,Y,N,N,N
,Motorcycle,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,N,Y - Vehicle will be a motorcycle.,N
,National Guard ,,,,Y,Y,Y,N,Y,N,N,N
,New& Used Dealer,,,,Y,Y,Y,N,Y,N,N,N
,Passenger ,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,"Y-""Taxation without Representation"" at bottom of the plate",N,N
,Passenger ,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,N,N,N
,Purple heart,,,,Y,Y,Y,N,Y,N,N,N
,Regular Veteran Plate,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,Y - US and DC flags icons appear on plate.,N,N
,School Bus,,,,Y,Y,Y,N,Y,N,N,N
,Semi Trailer,,,,Y,Y,Y,N,Y,N,N,N
,Sheriff,,,,Y,Y,Y,N,Y,N,N,N
,State,,,,Y,Y,Y,N,Y,N,N,N
,State motorcycle,,,,Y,Y,Y,N,Y,N,N,N
,Taxi,,,,Y,Y,Y,N,Y,N,N,N
,Temporary,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,N,N,N
,Trailer,,,,Y,Y,Y,N,Y,N,N,N
,Truck,,,,Y,Y,Y,N,Y,N,N,N
,Truck Heavy,,,,Y,Y,Y,N,Y,N,N,N
,Veteran Motorcycle,,,,Y,Y,Y,N,Y,N,N,N
,Specialty,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,N,N,N
,Specialty,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,N,N,N
,Specialty,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,N,N,N
,Specialty,,,,Y,Y,Y,Y - Verifiy Verticals as seen,Y,N,N,N
,,,,,,,,,,,,
