46,Passenger Plate Default,Florida,,,"Does not use the Letter ""O"", we only use the number zero ""0"". If the letter ""O"" is entered it automatically changes to zero ""0"" in our motor vehicle database. Font changes in 2008 & 2019.",,,,,Florida uses Plate Type Code numbers to apply proper prefix/suffix currently. The only plate type code used is Passenger Plate Default: 0,,,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?,
46,A & M University,Centennial,1987-2018,Since 2019,Y,N,N,N,Y,N,N,N,
46,Advent Health University,,,,Y,N,N,N,Y,N,N,N,
46,Agency Workforce Innovation,,,,Y,N,N,N,Y,Y - Plate starts with 'AWI',N,N,
46,Agricultural Education,,,,Y,N,N,N,Y,Y -  FFA Icon seen on left,N,N,
46,Agriculture Consumer Services,,,,Y ,N,N,N,Y,Y - Plate starts with ACS.,Y - Reject as Emergency Vehicle if FIRE is displayed on Forestry Fire Service Vehicle.,N,
46,Agriculture Keeps Green,1997-2007,Since 2008,,Y,N,N,N,Y,N,N,N,
46,Air Force Combat Action Medal,,,,Y,N,N,N,Y,Y- Medal appears on left side of the plate.,N,N,
46,Air Force Cross,,,,Y,N,N,N,Y,Y- Medal appears on left side of the plate.,N,N,
46,Amateur Radio,,,,Y,N,N,N,Y,N,N,N,
46,America the Beautiful,,,,Y,N,N,N,Y,N,N,N,
46,American Red Cross,,,,Y,N,N,N,Y,N,N,N,
46,Animal Friend,2004-2007,2008-2015,2016-2020,Y,N,N,N,Y,N,N,N,
46,Animal Friend,Since 2021,,,Y,N,N,N,Y,N,N,N,
80,Antique ,1980-2018,Since 2019,,Y,N,N,Y- Use Dropdown if registration is all numeric.,Y,"Y - ""Antique"" appears on bottom of blue colored plate",N,N,
93,Antique Motorcycle,,,,Y,N,N,"Y - Omit the letter ""Q"" when it is the first letter of the plate and the rest is all numeric. Put in Drop Down from Menu.",Y,Y - Antique appears across bottom of blue plate. Smaller plate size,Y - Motorcycle,N,
46,Apportioned,1999-2018,2019,2020,Y,N,N,N,Y,Y - Vertical month sticker in center,N,N,
