0,Passenger Plate Default,Georgia,,,"The letter ""O"" cannot be used on personalized plates.  Only the number zero ""0"" can be used",,,,,,,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?
0,Abraham Baldwin Agricultural College,,,,Y,N,N,N,N,Y- ABAC Horse icon at left of plate.,N,N
0,Agriculture,2007-2011,Since 2012,,Y,N,N,N,Y,Y - Farm Barn on left of plate. 4-H clover bottom left corner.,N,N
0,Alternate Fuel,,,,Y,N,N,N,Y,Y - Alternate Fuel Vehicle appears across bottom of plate. Green leaf on left of plate.,N,N
0,Amateur Radio,,,,Y,N,N,Y - OMIT series on left of plate.,Y,Y - Amateur Radio Appears as verticals on left of plate.,N,N
0,Ambulance,,,,Y,N,N,N,Y,"Y - ""Hearse/Ambulance"" appears across the bottom of the plate.",Y - Ambulance,N
0,Animal Friend,,,,Y,N,N,N,N,N,N,N
0,Antique ,,Motorcycle,,Y,N,N,N,Y,N,N,N
0,Appalachian Trail,2010-2011,Since 2012,,Y,N,N,N,N,Y-'appalachian.com' at the bottom of the plate.,N,N
0,Apportioned,For Hire,Private,,Y,N,N,"Y - OMIT Public, Private or For Hire on left of plate. ",Y,"Y - Apportioned appears across bottom of plate. Public, Private, or For Hire appear as verticals on left.",N,N
0,Choose Life,2007-2011,Since 2012,,Y,N,N,N,N,N,N,N
0,Collegiate,In State,In State,Out of State,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag.,N,N
0,Collegiate,UNC,A. Baldwin AGR Col,Alabama A&M,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag.,N,N
0,Collegiate,Albany State,Augusta Univ,Armstrong,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag.,N,N
0,Collegiate,Brenau Univ,Berry College,Columbus St Univ,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag.,N,N
0,Collegiate,Clark Atlanta Univ,Clemson,Emory Univ,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag.,N,N
0,Collegiate,Fort Valley State,Florida A&M,Georgia College,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag.,N,N
0,Collegiate,Georgia Tech,Georgia Southern,Hampton Univ,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag.,N,N
0,Collegiate,Kennesaw State,LaGrange College,Life University,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag.,N,N
0,Collegiate,LSU,Mercer University,Morris Brown Coll,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag.,N,N
0,Collegiate,Michigan State,Morehouse,Miss State,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag.,N,N
0,Collegiate,Univ of N Georgia,Univ of Alabama,FSU,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag.,N,N
0,Collegiate,Univ of S Carolina,Savannah State,Ohio State,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag.,N,N
0,Collegiate,Georgia State,Spelman College,Oglethorpe Univ,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag.,N,N
0,Collegiate,Auburn,Tuskegee Univ,Univ of Miami,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag.,N,N
0,Collegiate,Ole Miss,Univ of Kentucky,UF,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag.,N,N
