46,Passenger,Indiana,,,Allows the use of both zero (0) and the letter “O”. The font is different for the letter “O” and the number zero “0”.,,,,,Tags may have customized registrations that are not standard issue.  **USE INITIAL PASSENGER DROPDOWN** ,,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?
46,4H Foundation,,,,Y,N,N,N,Y,Y - Four Leaf clover icon on left side of plate.,N,N
46,500 Festival,,,,Y,N,N,N,Y,Y - Icon on left side of plate.,N,N
50,Air Force Veteran,,,,Y,N,N,N,Y,Y - Visible branch logo/name  appear on tag,N,N
61,Ambulance,,,,Y,N,N,Y - Stacked characters must be entered as seen.,Y,N,Y - Ambulance,N
46,Amateur Radio,2004-2012,2013-2016,Since 2017,Y,N,N,N,Y,Y - Standard plate with FCC Radio Call sign for registration.,N,N
46,American Diabetes,,,,Y,N,N,N,Y,Y - Icon on left side of plate.,N,N
46,American Legion,,,,Y,N,N,N,Y,Y- 'HOOSIER LEGIONNAIRE' on bottom of plate.,N,N
46,Anderson University,,,,Y,N,N,N,Y,Y - Visible college logo/name  appear on tag,N,N
31,Apportioned,2005-2012,Since 2013,,Y,N,N,N,Y,"Y - APP appears in top left corner. Company name and logo may appear on plate. PWR may appear in top right corner. The weight class must be greater than 10,000 lbs.",N,N
31,Apportioned,Allied,Ashland,Atlas,Y,N,N,N,Y,"Y - APP appears in top left corner. Company name and logo may appear on plate. PWR may appear in top right corner. The weight class must be greater than 10,000 lbs.",N,N
31,Apportioned,Baylor Trucking,Bowman,Brinks Security,Y,N,N,N,Y,"Y - APP appears in top left corner. Company name and logo may appear on plate. PWR may appear in top right corner. The weight class must be greater than 10,000 lbs.",N,N
31,Apportioned,Carter Express,Celadon,Covenant,Y,N,N,N,Y,"Y - APP appears in top left corner. Company name and logo may appear on plate. PWR may appear in top right corner. The weight class must be greater than 10,000 lbs.",N,N
