0,Passenger Plate Default,Michigan,,,"Uses the number zero “0” on personalized plates to represent both a number zero “0” or a letter “O”. Thus, if someone is issued personalized plate “70 FORD”, the personalized plate will show the number “0” like this: 70 F0RD. The letter “O” is not used. A letter “O” is shown by using the number “0”.",,,,,"Current, standarrd issue plates DO NOT use the letter 'O'.",,
ONYH58,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?
0,Afghanistan Campaign Medal Veteran,Type I,Type II,,Y,N,N,N,Y,Y-'Veteran' across the bottom of plate. Military logo or medal design on left side of plate.,N,N
0,Afghanistan Conflict Veteran,Type I,Type II,Type III,Y,N,N,Y - Omit all branch of service or campaign names visible on plate.,Y,Y - Veteran appears across bottom of plate. Branch of service or campaign appear on plate.,N,N
0,Agriculture Heritage,,,,Y,N,N,N,Y,Y- Barn logo at left of plate.,N,N
0,Air Force Veteran (2007-2009),Type I,Type II,,Y,N,N,Y - Omit all branch of service or campaign names visible on plate.,Y,Y - Veteran appears across bottom of plate. Branch of service or campaign appear on plate.,N,N
0,Air Force Veteran (2010-2012),Type I,Type II,,Y,N,N,Y - Omit all branch of service or campaign names visible on plate.,Y,Y - Veteran appears across bottom of plate. Branch of service or campaign appear on plate.,N,N
0,Air Force Veteran (Since 2013),,,,Y,N,N,Y - Omit all branch of service or campaign names visible on plate.,Y,Y - Veteran appears across bottom of plate. Branch of service or campaign appear on plate.,N,N
0,Antique ,Type I,Type II,Type III,Y,N,N,N,Y,Y - Historical or older version of plates with year noted.,N,N
0,Antique Motorcycle,,,,Y,N,N,N,Y,Y - Smaller plate size. Older style plates noted.,Y - Motorcycle,N
0,Amateur Radio (2007-2009),Type I,Type II,,Y,N,N,N,Y,N,N,N
0,Amateur Radio (2010-2012),,,,Y,N,N,N,Y,Y- 'AMATEUR RADIO' at left of plate.,N,N
0,Amateur Radio (Since 2013),,,,Y,N,N,N,Y,Y- Radio Tower logo at left of plate.,N,N
0,Apportioned,2007-2012,Since 2013,,Y,N,N,N,Y,Y - Apportioned appears across bottom of plate.,N,N
0,Army,Type I,Type II,,Y,N,N,Y - Omit all branch of service or campaign names visible on plate.,Y,Y - Veteran appears across bottom of plate. Branch of service or campaign appear on plate.,N,N
0,Army Veteran,Type I,Type II,,Y,N,N,Y - Omit all branch of service or campaign names visible on plate.,Y,Y - Veteran appears across bottom of plate. Branch of service or campaign appear on plate.,N,N
