46,Passenger,OHIO,,,Zero (0) cannot be used alone. Zero (0) must be led by or followed by another number (1-9).,,,,,,,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?
46,4H,,,,Y,N,N,N,Y,Y - 'HEAD HEART HANDS HEALTH' appears across bottom of plate.,N,N
46,A Kid Again,,,,Y,N,N,N,Y,N,N,N
50,Air Force Veteran,2004-2009,2010-2012,2013-2021,Y,N,N,N,Y,Y-'U.S. ARMED FORCES VETERAN' appears across bottom of plate.,N,N
50,Air Force Veteran,Since 2022,Woman Veteran,,Y,N,N,N,Y,Y-'U.S. ARMED FORCES VETERAN' appears across bottom of plate.,N,N
46,Alpha Kappa Alpha Sorority,2013-2022,Since 2023,,Y,N,N,N,Y,N,N,N
46,ALS Awareness,,,,Y,N,N,N,Y,Y - 'Ohio ALS.org' appears across bottom of plate.,N,N
46,Amateur Radio,2004-2009,2010-2012,2013-2021,Y,N,N,N,Y,N,N,N
46,Amateur Radio,Since 2022,,,Y,N,N,N,Y,N,N,N
46,Ambulance/ Ambulette,Ambulance,Ambulette,,Y,N,N,N,Y,N,Y-Ambulance/ Ambulette,N
31,Apportioned,1997-2000,2001-2003,2004-2012,Y,N,N,N,Y,"Y - 'Apportioned' appears across bottom of plate; On Company Series, logo appears at left.",N,N
31,Apportioned,Since 2013,Company,,Y,N,N,N,Y,"Y - 'Apportioned' appears across bottom of plate; On Company Series, logo appears at left.",N,N
50,Armed Forces Reserves,,,,Y,N,N,N,Y,Y- Branch of Service logo appears at left.,N,N
50,Armed Forces Retired,Air Force,Navy,,Y,N,N,N,Y,Y- Branch of Service logo appears at left.,N,N
50,Army Veteran,Aviation,2010-2012,2013-2021,Y,N,N,N,Y,Y-'U.S. ARMED FORCES VETERAN' appears across bottom of plate.  (Except Aviation),N,N
50,Army Veteran,Since 2022,,,Y,N,N,N,Y,Y-'U.S. ARMED FORCES VETERAN' appears across bottom of plate.  (Except Aviation),N,N
46,Ashland University,,,,Y,N,N,N,Y,N,N,N
46,Autism Ohio.org,,,,Y,N,N,N,Y,N,N,N
46,Baseball For All,2022,Since 2023,,Y,N,N,N,Y,N,N,N
46,Bottoms Up,,,,Y,N,N,N,Y,N,N,N
46,Bowling Green State University,2013-2021,Since 2022,,Y,N,N,N,Y,N,N,N
46,Breast Cancer Awareness,,,,Y,N,N,N,Y,Y - 'Breast cancer Fund of Ohio' appears across bottom of plate.,N,N
46,Brecksville Broadview,,,,Y,N,N,N,Y,Y - 'WHERE FINE EDUCATION IS A HERITAGE' appears across bottom of plate.,N,N
46,Buckeye Corvettes,,,,Y,N,N,N,Y,N,N,N
46,Camp Bus,,,,Y,N,N,N,Y,Y-'CAMP BUS' at top; Expiration Date at left; Year of Manufacture at bottom of plate.,Y-Bus,N
46,Canton McKinley Bulldogs,,,,Y,N,N,N,Y,Y- School logo at left,N,N
46,Capital University,,,,Y,N,N,N,Y,Y- School logo at left,N,N
46,Case Western Reserve University,,,,Y,N,N,N,Y,Y- School logo at left,N,N
46,Cat Friendly,,,,Y,N,N,N,Y,N,N,N
46,Celebrate Kids,,,,Y,N,N,N,Y,N,N,N
46,Central State University,,,,Y,N,N,N,Y,Y- School logo at left,N,N
46,Chagrin Falls,,,,Y,N,N,N,Y,Y - 'We are Chagrin' appears across bottom of plate.,N,N
46,Chardon High School Hilltoppers,,,,Y,N,N,N,Y,Y - 'HILLTOPPERS' appears across bottom of plate.,N,N
46,Choose Life,Red Heart 2013-2021,Red Heart Since 2022,"Adoption"" Yellow Since 2022",Y,N,N,N,Y,Y - 'CHOOSE LIFE' appears across bottom of plate.,N,N
46,Church Bus,,,,Y,N,N,N,Y,Y - Church Bus appears across bottom of plate.,Y-Bus,N
46,Cincinnati Bengals,,,,Y,N,N,N,Y,Y - 'WHO DEY' appears across bottom of plate.,N,N
46,Cincinnati Reds,,,,Y,N,N,N,Y,Y - 'REDS ON RADIO' appears across bottom of plate.,N,N
46,Circleville Pumpkin Show,,,,Y,N,N,N,Y,N,N,N
46,City,,,,Y,N,N,N,Y,N,N,N
46,Cleveland Browns,2004-2021,Since 2022,,Y,N,N,N,Y,N,N,N
46,Cleveland Cavaliers,,,,Y,N,N,N,Y,N,N,N
46,Cleveland Clinic Children's,,,,Y,N,N,N,Y,N,N,N
46,Cleveland Guardians,,,,Y,N,N,N,Y,N,N,N
46,Cleveland Indians,,,,Y,N,N,N,Y,N,N,N
50,Coast Guard Veteran,,,,Y,N,N,N,Y,Y- 'U.S. ARMED FORCES VETERAN' appears on bottom of plate; Branch of Service logo appears at left.,N,N
46,Coast to Coast,,,,Y,N,N,N,Y,Y - 'FIRST COAST-TO-COAST ROAD' appears across bottom of plate.,N,N
46,Collector,2013,,,Y,N,N,N,Y,N,N,N
46,Columbus Blue Jackets,,,,Y,N,N,N,Y,N,N,N
46,Columbus Crew SC,2013-2021,Since 2022,Alternate Logo,Y,N,N,N,Y,N,N,N
46,Commercial Demonstrator,,,,Y,N,N,N,Y,Y - 'COMMERCIAL' appears across bottom of plate.,N,N
46,Commodore,,,,Y,N,N,N,Y,N,N,N
46,Conquer Child Cancer,,,,Y,N,N,N,Y,Y - 'StBaldricks.org' appears across bottom of plate.,N,N
46,Cops,2013-2021,Since 2022,,Y,N,N,N,Y,Y - 'Ohio COPS' appears across bottom of plate.,N,N
46,Creatives Drive Ohio,,,,Y,N,N,N,Y,N,N,N
46,Cuyahoga Heights Schools,,,,Y,N,N,N,Y,N,N,N
46,Cuyahoga Valley Career Center,,,,Y,N,N,N,Y,N,N,N
46,Cuyahoga Valley,,,,Y,N,N,N,Y,N,N,N
46,Cuyahoga Valley Scenic Railroad,,,,Y,N,N,N,Y,N,N,N
47,Dealer,2001-2003,2004-2009,2010-2012,Y,N,N,Y - Omit all small numbers,Y,Y - Dealer appears across bottom of plate.,N,N
47,Dealer,2013-2021,Since 2022,,Y,N,N,Y - Omit all small numbers,Y,Y - Dealer appears across bottom of plate.,N,N
46,Delta Sigma Theta Sorority,2013-2022,Since 2023,,Y,N,N,N,Y,N,N,N
46,Disabled American Veterans (Organization),,,,Y,N,N,N,Y,N,N,N
50,Disabled Veteran,2004-2012,Since 2013,,Y,N,N,N,Y,Y - Red wheelchair logo. Veteran appears across bottom of plate.,N,N
46,Distributor,,,,Y,N,N,Y - Small characters must be verified as seen.,Y,Y - Distributor appears across bottom of plate.,N,N
46,Donate Life,2013-2021,Since 2022,,Y,N,N,N,Y,Y - 'Organ Donors Save Lives' appears across bottom of plate.,N,N
46,Down Syndrome Awareness,,,,Y,N,N,N,Y,Y -'downsyndromeohio. org' appears across bottom of plate.,N,N
46,Ducks Unlimited,,,,Y,N,N,N,Y,N,N,N
46,DUI Passenger ,,,,Y,N,N,N,Y,Y - Plate is yellow with red letters.,N,Y
46,Eagle Scouts,2013-2022,Since 2023,,Y,N,N,N,Y,N,N,N
46,East Europeans of Ohio,,,,Y,N,N,N,Y,N,N,N
46,Edward High School,,,,Y,N,N,N,Y,Y - 'ST EDWARD HIGH SCHOOL' appears across bottom of plate.,N,N
46,Elder High School,,,,Y,N,N,N,Y,N,N,N
46,Emergency Medical Service,,,,Y - Emergency Vehicles (Police and Fire) are still rejected accordingly,N,N,N,Y,Y - 'EMS VEHICLE' appears across bottom of plate.,N,N
46,Erie,,,,Y,N,N,N,Y,Y - 'ERIE…OUR GREAT LAKE' appears across bottom of plate.,N,N
46,Essential Ohio Energy,,,,Y,N,N,N,Y,Y - 'ABUNDANT AFFORDABLE AMERICAN MADE' appears across bottom of plate.,N,N
46,Fallen Lineworker,,,,Y,N,N,N,Y,Y - 'HONORING FALLEN LINEWORKERS' appears across bottom of plate.,N,N
46,Fallen Timbers Battlefield,,,,Y,N,N,N,Y,Y - series title & Date appear across bottom of plate.,N,N
46,Farm Bus,,,,Y,N,N,N,Y,N,Y-Bus,N
46,FBI National Academy 58th Convention,,,,Y,N,N,N,Y,N,N,N
46,FC Cincinnati,2018-2021,Since 2022,,Y,N,N,N,Y,N,N,N
46,Fire Department,,,,Y - Emergency Vehicles (Police and Fire) are still rejected accordingly,N,N,N,Y,Y - FIRE DEPT appears on bottom of plate.,N,N
46,Fish Ohio,2013-2022,Since 2023,,Y,N,N,N,Y,N,N,N
46,Folds of Honor,,,,Y,N,N,N,Y,Y - 'FREEDOM IS NOT FREE' appears across bottom of plate.,N,N
46,Fraternal Order of Police,1996-2021,Since 2022,,Y,N,N,N,Y,N,N,N
46,Fraternal Order of Police (Associate Member),2004-2012,2013-2021,Since 2022,Y,N,N,N,Y,Y - 'ASSOCIATE MEMBER' appears across bottom of plate.,N,N
46,Freemason,2013-2022,Since 2023,,Y,N,N,N,Y,N,N,N
46,Friends of Coal,,,,Y,N,N,N,Y,Y - 'COAL KEEPS THE LIGHTS ON' appears across bottom of plate.,N,N
46,Girl Scouts,,,,Y,N,N,N,Y,Y - 'Proud to support Girl Scouts' appears across bottom of plate.,N,N
46,Glen Helen,,,,Y,N,N,N,Y,N,N,N
46,Gold Ribbon Awareness,,,,Y,N,N,N,Y,Y - 'Childhood Cancer Awareness' appears across bottom of plate.,N,N
46,Gold Star Family,Afghanistan,Korea,,Y,N,N,N,Y,Y - Gold star icon and area appear at left of plate.,N,N
46,Government,Regular,Disabled,,Y,N,N,N,Y,N,N,N
46,Habitat for Humanity,,,,Y,N,N,N,Y,N,N,N
35,Handicapped,2009-2012,2013-2021,Since 2022,Y,N,N,N,Y,Y - Blue wheelchair logo.,N,N
46,Healthy New Albany,,,,Y,N,N,N,Y,N,N,N
46,Heidelberg College,2013-2021,Since 2022,,Y,N,N,N,Y,N,N,N
80,Historical,,Motorcycle,,Y,N,N,Y - OMIT Vertical OHIO when present.,Y,Y - Historical Vehicle or Collector appear on plate.,N,N
46,Honor our Fallen,2013-2022,Since 2023,,Y,N,N,N,Y,Y - Sheriff Star & Shield icon appear at left of plate; 'HONOROURFALLEN.US' at bottom of plate.,N,N
50,Honorably Discharged,Marine,,,Y,N,N,N,Y,Y- 'U.S. ARMED FORCES VETERAN' at bottom of plate.,N,N
46,Honoring Fallen Linemen,,,,Y,N,N,N,Y,N,N,N
46,Hope Brain Tumor,,,,Y,N,N,N,Y,Y - 'PrayersFromMaria.org' at bottom of plate.,N,N
46,Horses,2013-2021,Since 2022,Since 2022,Y,N,N,N,Y,Y- 'Ohios Horses.com' at bottom of plate; Horse icon at left.,N,N
46,International Association of Fire Fighters,,,,Y,N,N,N,Y,Y- 'Ohio Association of Professional Firefighters' at bottom of plate; IAFF icon at left.,N,N
46,In God we Trust,,,,Y,N,N,N,Y,N,N,N
46,In Transit,,,,Y,N,N,Y - Key all small numbers,Y,Y - In Transit appears across bottom of plate.,N,N
46,Independence Schools,,,,Y,N,N,N,Y,N,N,N
50,Joint Service Commendation Medal,2013-2021,Since 2022,,Y,N,N,N,Y,Y - 'FOR VALOR' appears across bottom of plate.,N,N
46,Kent State University,,,,Y,N,N,N,Y,Y - 'YOU BELONG HERE!' appears across bottom of plate; School Icon at left.,N,N
50,Korea Defense,,,,Y,N,N,N,Y,Y - 'KOREA DEFENSE' appears across bottom of plate.,N,N
50,Korea Veteran,,,,Y,N,N,N,Y,Y - 'VETERAN' appears across bottom of plate; Theater Ribbon at left.,N,N
46,La Salle High School,,,,Y,N,N,N,Y,N,N,N
46,Lake Erie Life Ring,,,,Y,N,N,N,Y,Y - 'OUR GREAT LAKE' appears across bottom of plate; Ring Icon at left.,N,N
46,Lake Erie Lighthouses,Marblehead,Toledo Harbor,,Y,N,N,N,Y,Y - 'ERIE...OUR GREAT LAKE' appears across bottom of plate.,N,N
46,Leader in Flight,,,,Y,N,N,N,Y,N,N,N
46,Livery,,,,Y,N,N,N,Y,N,N,N
46,Manufacturer,,,,Y,N,N,N,Y,N,N,N
50,Marine Corps,Veteran,Active Duty,,Y,N,N,N,Y,N,N,N
46,Massillon Tigers,,,,Y,N,N,N,Y,N,N,N
50,Medal of Honor,Type I,Type II,,Y,N,N,N,Y,Y - Medal of Honor Appears on plate.,N,N
46,Medina County Historical Society,,,,Y,N,N,N,Y,Y - 'HEART OF THE WESTERN RESERVE' appears across bottom of plate.,N,N
46,Miami University,Red Hawks Icon,School Icon,,Y,N,N,N,Y,N,N,N
46,Military Sacrifice,,,,Y,N,N,N,Y,N,N,N
46,Moeller High School Crusaders,,,,Y,N,N,N,Y,N,N,N
46,Monarch Butterfly,,,,Y,N,N,N,Y,Y - 'Keeping Monarchs in Flight' appears across bottom of plate.,N,N
46,"More Trees, Healthy Forests",,,,Y,N,N,N,Y,Y - Smokey the Bear Icon at left.,N,N
45,Motorcycle,2004-2009,2010-2012,2013-2021,Y,N,N,N,Y,Y - Smaller plate size,Y - Motorcycle,N
45,Motorcycle,Since 2022,,,Y,N,N,N,Y,Y - Smaller plate size,Y - Motorcycle,N
45,Motorcycle (Misc),APV 2010-2012,APV Since 2013,Breast Cancer Aware,Y,N,N,N,Y,Y-Smaller Plate Size,Y-Motorcycle,N
45,Motorcycle (Misc),Dealer2004-2012,Dealer Since 2013,,Y,N,N,N,Y,Y-Smaller Plate Size,Y-Motorcycle,N
