0,Passenger Plate Default,Tennessee,,,Does not use the Letter “O” on their standard license plates. Both the Letter “O” and Number Zero “0” are used on our Specialty Tags and Temporary Operating Permits.,,,,,"*FLAT designated plates are printed, not pressed.",,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?
,Agriculture,1997-2000,Since 2001,,Y,N,N,N,Y,Y- Barn logo at left of plate.,N,N
,Air Force Cross,,,,Y,N,N,N,Y,Y- Medal logo at left of plate.,N,N
,Air Medal,Pressed,Meritorius,,Y,N,N,N,Y,Y- Medal logo at left of plate.,N,N
,Alabama University,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Alpha Kappa Alpha Sorority,2001-2006,Since 2007,,Y,N,N,N,Y,Y- Sorority logo at left of plate.,N,N
,Alpha Phi Alpha Fraternity,Type I,Type II,,Y,N,N,N,Y,Y- Fraternity logo at left of plate.,N,N
,Amateur Radio,,,,Y,N,N,N,Y,Y - Emergency appears across bottom of plate.,N,N
,Animal Friendly,,,,Y,N,N,N,Y,Y- Organization logo at left of plate.,N,N
,Antique Auto,,,,Y,N,N,Y - Vertical characters must be verified as seen.,Y,Y - Antique auto appears across bottom of plate. Plate starts with AA.,N,N
,Antique Motorcycle,,,,Y,N,N,Y - Vertical characters must be verified as seen.,Y,Y - Antique appears across bottom of plate. Smaller plate size. Plate starts with A.,Y - Motorcycle,N
,Appalachian Trail,,,,Y,N,N,N,Y,N,N,N
,Apportioned,1990-1999,2000-2005,2006,Y,N,N,N,Y,N,Y- Truck,N
,Apportioned,2007-2011,Since 2012,,Y,N,N,N,Y,N,N,N
,Art is a Rainbow,Pressed,Flat,,Y,N,N,N,Y,N,N,N
,Auburn University,Pressed,Flat,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Austin Peay State University,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
,Autism,,,,Y,N,N,N,Y,Y- Organization logo at left of plate.,N,N
,Belmont University,,,,Y,N,N,N,Y,Y- School logo at left of plate.,N,N
