0,Passenger Plate Default,Texas,,,"Does not use the Letter “O”, only the number zero “0”.",,,,,,,,,,,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?,,,,
,100 Year Plate,,,,Y,N,N,N,Y,Y- Star in center of plate.,N,N,,,,
,11th Armored Calvary Regiment,,Motorcycle,,Y,N,N,N,Y,Y- Unit logo appears on left of plate.,N,N,,,,
,144/72 Hour Permit,,,,Y,N,N,N,Y,Y- Hour limit (144 or 72) appears on top of plate.,N,N,,,,
,173rd Airborne Brigade,,,,Y,N,N,N,Y,Y- Unit logo appears on left of plate.,N,N,,,,
,1836,Black,Lone Star,Pink,Y,N,N,N,Y,N,N,N,,,,
,1836,Red,Silver,White,Y,N,N,N,Y,N,N,N,,,,
,36th Infantry Division,,,,Y,N,N,N,Y,Y- Unit logo appears on left of plate.,N,N,,,,
,4H,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Abilene Christian University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Adopt a Beach,2013-2018,Since 2019,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Aerospace Commission,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Air Force Cross w/Valor,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Air Medal,Regular,w/Valor,Motorcycle,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Airman's Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Alpha Kappa Alpha Sorority,,,,Y,N,N,N,Y,Y- Sorority logo appears on left of plate.,N,N,,,,
,Alpha Phi Alpha Fraternity,,,,Y,N,N,N,Y,Y- Fraternity logo appears on left of plate.,N,N,,,,
,A & M University,2000-2004,Since 2005,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,A & M University Commerce,Type I,Type II,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,A & M University Specialty,Black,Maroon,Mascot,Y,N,N,N,Y,N,N,N,,,,
,Amateur Radio,,,,Y,N,N,N,Y,Y - Radio Operator appears under state name.,N,N,,,,
,American Legion,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'STILL SERVING AMERICA' at bottom.,N,N,,,,
,American Quarterhorse,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate; 'AMERICA'S HORSE' at bottom.,N,N,,,,
,Anderson Cancer Center,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Angelo State University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Animal Friendly,,,,Y,N,N,N,Y,N,N,N,,,,
,Annual Permit,,,,Y,N,N,N,Y,Y- 'ANNUAL PERMIT' appears on plate.,N,N,,,,
,Annual Permit Trailer,,,,Y,N,N,N,Y,Y- 'ANNUAL PERMIT' appears on plate; 'TRAILER' on bottom.,N,N,,,,
,Antartic Service Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Antique ,Antique Auto,Antique Bus,Antique Truck,Y,N,N,Y - Omit series name if present.,Y,Y - 'Antique' appears on plate. Older design plates also seen.,N,N,,,,
,Antique ,Antique Vehicle,Motorcycle '02-'17,Motorcycle Since '18,Y,N,N,Y - Omit series name if present.,Y,Y - 'Antique' appears on plate. Older design plates also seen.,N,N,,,,
,Apportioned plate,1989-2001,2002-2004,2005-2011,Y,N,N,N,Y,Y - Apportioned appears across top of plate.,N,N,,,,
,Apportioned plate,Since 2012,,,Y,N,N,N,Y,Y - Apportioned appears across top of plate.,N,N,,,,
,Arizona State University,2015-2019,Since 2020,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Armed Forces Expeditionary Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Armed Forces Service Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Army of Occupation Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Auburn University,2015-2019,Since 2020,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Austin College,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Austin FC,,,,Y,N,N,N,Y,Y- Team logo appears on left of plate.,N,N,,,,
,Barbed Wire,Black,White,,Y,N,N,N,Y,Y- Barbed wire border; 'ALL HAIL THE MIGHTY STATE' at bottom.,N,N,,,,
,Baylor University,2005-2018,Since 2019 Type I,Since 2019 Type II,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Big Bend National Park,2006-2020,Since 2021,,Y,N,N,N,Y,N,N,N,,,,
,Big Star,Black,Blue,Carbon Fiber,Y,N,N,N,Y,Y- 'LONE STAR STATE' at bottom.,N,N,,,,
,Big Star,Orange,Pink,Red,Y,N,N,N,Y,Y- 'LONE STAR STATE' at bottom.,N,N,,,,
,Big Star,White,,,Y,N,N,N,Y,Y- 'LONE STAR STATE' at bottom.,N,N,,,,
,Breast Cancer Ribbon,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Brigham Young University,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,Bronze Star,Regular,w/Valor,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Buffalo Soldier Museum,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Carbon Fiber,,,,Y,N,N,N,Y,N,N,N,,,,
,Carroll ISD,,,,Y,N,N,N,Y,Y- School logo appears on left of plate.,N,N,,,,
,CASA,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Charities,DPS Troopers,Support Adoption,Elks,Y,N,N,N,Y,Y - Visible logo/name  appear on tag,N,N,,,,
,Charities,Whitetail Deer,Young Lawyers,,Y,N,N,N,Y,Y - Visible logo/name  appear on tag,N,N,,,,
,"Charities, State Sponsored",Autism Awareness,AF Assoc,Big Brothers,Y,N,N,N,Y,Y - Visible logo/name  appear on tag,N,N,,,,
,"Charities, State Sponsored",Bighorn Sheep,Boy Scouts,Blood Donor,Y,N,N,N,Y,Y - Visible logo/name  appear on tag,N,N,,,,
,"Charities, State Sponsored",Burn Pitts,Citrus,Fallen LEO,Y,N,N,N,Y,Y - Visible logo/name  appear on tag,N,N,,,,
,"Charities, State Sponsored",K9s4Kids,Master Gardner,Other Country,Y,N,N,N,Y,Y - Visible logo/name  appear on tag,N,N,,,,
,"Charities, State Sponsored",Sea Turtle,Sheriff's Assoc of Texas,Sickle Cell Awareness,Y,N,N,N,Y,Y - Visible logo/name  appear on tag,N,N,,,,
,"Charities, State Sponsored",State Capitol,,,Y,N,N,N,Y,Y - Visible logo/name  appear on tag,N,N,,,,
,Childhood Cancer Awareness,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,China Service Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Choose Life,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Civil Air Patrol,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
,Classic Auto,,,,Y,N,N,N,Y,N,N,N,,,,
,Classic Black,,,,Y,N,N,N,Y,N,N,N,,,,
,Classic Truck,2002-2004,2005-2011,Since 2012,Y,N,N,N,Y,N,N,N,,,,
,Coast Guard Commendation Medal,,Motorcycle,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,Coast Guard Medal,,,,Y,N,N,N,Y,Y- Medal logo appears on left of plate.,N,N,,,,
,College for all Texans,,,,Y,N,N,N,Y,Y- Organization logo appears on left of plate.,N,N,,,,
