0,Passenger Plate Default,Virginia,,,Uses both the Letter “O” and the Number Zero “0” on their plates. The letter “O” is rounder than the number “0”.,,,,,"* NOTE :  DO NOT enter any symbols (!,&,$,@,etc..)",,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?
,Farm,,,,Y,N,N,N,Y,Y - Farm Vehicle appears across bottom of plate. Plate begins with F.,N,N
,National Guard ,,,,Y - must be classified as National Guard,N,N,N,Y,Y - Militiaman logo in circle.,N,Y
,Apportioned plate,,,,Y,N,N,N,Y,Y - Apportioned appears on plate. ,N,N
,Commercial,Truck,Company Logo,Truck Permanent,Y,N,N,N,Y,Y - Some Company logos appear on plate.,Y - Truck,N
,Moose Conservation,,,,N,N,N,N,Y,N,N,N
,Disabled Veteran ,,,,Y,N,N,Y - Omit printed vertical or diagonal characters with different font or color.,Y,Y - Disabled Veteran appears across bottom of plate.,N,N
,Handicapped,Standard,Specialty,,Y - must be classified as Handicapped,N,N,N,Y,Y - Wheelchair logo appears on plate. Any specialty plate can be used.,N,N
,Initial Commercial plate ,,,,N,N,N,N,Y,N,N,N
,Initial Moose Conservation,,,,N,N,N,N,Y,N,N,N
,Initial Disabled Veteran,,,,N,N,N,N,Y,N,N,N
,Initial Handicapped,,,,N,N,N,N,Y,N,N,N
,Initial Motorcycle,,,,N,N,N,N,Y,N,N,N
,Initial Passenger,,,,N,N,N,N,Y,N,N,N
,Initial Veteran Motorcycle,,,,N,N,N,N,Y,N,N,N
,Initial Regular Veteran,,,,N,N,N,N,Y,N,N,N
,Motorcycle,Standard,Specialty,Antique Black,Y,N,N,N,Y,Y - Smaller plate size. State abbreviation VA appears on plate. Any Specialty plate available.,Y - Motorcycle,N
,Passenger ,,,,Y,N,N,N,Y,N,N,N
,Dealer,Dealer,Independent Dealer,,Y,N,N,Y - Vertical characters must be verified as seen.,Y,Y - Dealer or Independent Dealer appears on plate.,N,N
,New& Used Dealer,,,,N,N,N,N,Y,N,N,N
,Veteran Motorcycle,,,,N,N,N,Y - Omit Red VET or DV verticals when seen.,Y,N,N,N
