0,Passenger Plate Default,Wyoming,,,"Wyoming does not user the letter O in the regisgration. Uses a 2 digit county code. If a single digit is seen to the left of the hourse icon, add a zero to the front.",,,,,Key all verticals and letters as seen. Do not key diagonals.,,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?
,Ambulance,,,,N,N,N,N,N,N,N,N
,Antique ,,,,N,N,N,N,N,N,N,N
,Apportioned plate,,,,N,N,N,N,N,N,Y - Semi trailer truck,N
,Authority / Police,,,,N,N,N,N,N,N,N,N
,Authority Motorcycle/Police,,,,N,N,N,N,N,N,N,N
,Bus,,,,N,N,N,N,N,N,N,N
,Camper,,,,N,N,N,N,N,N,N,N
,City,,,,N,N,N,N,N,N,N,N
,City Motorcycle,,,,N,N,N,N,N,N,N,N
,Collegiate,,,,Y - Single digit County code add a zero in front.,N,N,N,N,N,N,N
,Commercial,,,,Y - Single digit County code add a zero in front.,N,N,N,N,N,N,N
,Dealer,,,,N,N,N,N,N,N,N,N
,Dealer Motorcycle,,,,N,N,N,N,N,N,N,N
,Disabled Veteran ,,,,N,N,N,N,N,N,N,N
,Farm,,,,N,N,N,N,N,N,N,N
,Fire Department,,,,N,N,N,N,N,N,N,N
,Handicapped,,,,N,N,N,N,N,N,N,N
,Handicapped Motorcycle,,,,N,N,N,N,N,N,N,N
,Initial Commercial plate ,,,,N,N,N,N,N,N,N,N
,Initial Disabled Veteran,,,,N,N,N,N,N,N,N,N
,Initial Handicapped,,,,N,N,N,N,N,N,N,N
,Initial Motorcycle,,,,N,N,N,N,N,N,N,N
,Initial Passenger,,,,Y - Single digit County code add a zero in front.,N,N,N,N,N,N,N
,Initial Regular Veteran,,,,N,N,N,N,N,N,N,N
,Initial Veteran Motorcycle,,,,N,N,N,N,N,N,N,N
,Livery,,,,N,N,N,N,N,N,N,N
,Manufacturer,,,,N,N,N,N,N,N,N,N
,Motorcycle,,,,N,N,N,N,N,N,N,N
,National Guard ,,,,N,N,N,N,N,N,N,N
,New& Used Dealer,,,,N,N,N,N,N,N,N,N
,Passenger ,,,,Y - Single digit County code add a zero in front.,N,N,N,N,N,N,N
,Purple heart,,,,N,N,N,N,N,N,N,N
,Regular Veteran Plate,,,,N,N,N,N,N,N,N,N
,Regular Veteran Plate,,,,N,N,N,N,N,N,N,N
,School Bus,,,,N,N,N,N,N,N,N,N
,Semi Trailer,,,,N,N,N,N,N,N,N,N
,Sheriff,,,,N,N,N,N,N,N,N,N
,State,,,,N,N,N,N,N,N,N,N
,State motorcycle,,,,N,N,N,N,N,N,N,N
,Taxi,,,,N,N,N,N,N,N,N,N
,Temporary,,,,N,N,N,N,N,N,N,N
,Trailer,,,,N,N,N,N,N,N,Y - Vehicle will be a trailer,N
,Truck,,,,Y - Single digit County code add a zero in front.,N,N,N,N,N,Y - Vehicle will be a truck or a SUV,N
,Truck Heavy,,,,N,N,N,N,N,N,N,N
,Veteran Motorcycle,,,,N,N,N,N,N,N,N,N
,Gold Star Family,,,,N,N,N,N,N,N,N,N
,Pearl harbor Survivor,,,,N,N,N,N,N,N,N,N
,Specialty,,,,N,N,N,N,N,N,N,N
,Specialty,,,,N,N,N,N,N,N,N,N
,Specialty,,,,N,N,N,N,N,N,N,N
,,,,,,,,,,,,
