Alabama – Series of custom block numerals, similar to FE-Schrift derivative
Alaska – Custom condensed sans serif, proprietary
Arizona – Modified block sans serif, similar to Highway Gothic
Arkansas – Narrow block sans serif, proprietary
California – Penitentiary Gothic (custom)
Colorado – Modified block sans serif, Highway Gothic influence
Connecticut – Block sans serif, similar to Highway Gothic
Delaware – Serifed block style, similar to “Delaware” font replicas
Florida – Narrow sans serif, proprietary variant of Highway Gothic
Georgia – Modified sans serif, based on Highway Gothic
Hawaii – Custom sans serif, similar to Highway Gothic
Idaho – Modified block sans serif, proprietary
Illinois – Narrow sans serif, Highway Gothic derivative
Indiana – Custom sans serif, close to Interstate
Iowa – Modified sans serif, proprietary variant
Kansas – Block sans serif, similar to Highway Gothic
Kentucky – Custom sans serif, proprietary
Louisiana – Serif script for state name, block sans serif for numbers (Highway Gothic style)
Maine – Modified sans serif, proprietary
Maryland – Narrow sans serif, Highway Gothic influence
Massachusetts – Custom sans serif, similar to Massachusetts Block
Michigan – Narrow sans serif, Highway Gothic derivative
Minnesota – Modified sans serif, proprietary
Mississippi – Custom sans serif, proprietary
Missouri – Highway Gothic derivative
Montana – Narrow block sans serif, proprietary
Nebraska – Modified block sans serif, Highway Gothic style
Nevada – Custom sans serif, proprietary
New Hampshire – Narrow sans serif, Highway Gothic derivative
New Jersey – Modified sans serif, proprietary
New Mexico – Custom sans serif, proprietary
New York – Modified block sans serif, Highway Gothic derivative
North Carolina – Custom sans serif, proprietary
North Dakota – Modified sans serif, proprietary
Ohio – Narrow sans serif, Highway Gothic influence
Oklahoma – Custom sans serif, proprietary
Oregon – Modified sans serif, Highway Gothic style
Pennsylvania – Custom sans serif, replicated as “Pennsylvania” font
Rhode Island – Narrow sans serif, Highway Gothic derivative
South Carolina – Custom sans serif, proprietary
South Dakota – Custom sans serif, proprietary
Tennessee – Modified sans serif, Highway Gothic derivative
Texas – Block sans serif, proprietary (Highway Gothic influence)
Utah – Custom sans serif, proprietary
Vermont – Narrow sans serif, Highway Gothic style
Virginia – Modified sans serif, proprietary
Washington – Custom sans serif, replicated as “Washington License Plate” font
West Virginia – Narrow sans serif, Highway Gothic derivative
Wisconsin – Modified sans serif, proprietary
Wyoming – Custom sans serif, proprietary
American Samoa – Custom sans serif, proprietary
Guam – Modified sans serif, proprietary
Northern Mariana Islands – Custom sans serif, proprietary
Puerto Rico – Narrow sans serif, Highway Gothic influence
U.S. Virgin Islands – Custom sans serif, proprietary
District of Columbia (D.C.) – Modified sans serif, Highway Gothic derivative
Ontario (Canada) – Narrow sans serif, similar to “Ontario” proprietary font
Alberta (Canada) – Block sans serif, Highway Gothic derivative
